Quadrant,innovation_tech_name,Person Number,AVG_feasibility_level
Data Governance,AI Governance,4,4.75
Data Governance,Data Governance,4,4.75
Data Governance,Data Sharing,4,4.75
Data Governance,Decision Intelligence,4,4.75
Data Governance,Generative AI,4,4.75
Data Governance,AI for Sustainability,4,4.50
Data Governance,Augmented Data Catalog/Metadata Management,4,4.50
Data Governance,Augmented Data Management,4,4.50
Data Governance,Augmented Data Quality,4,4.50
Data Governance,D&A Stewardship,4,4.50
Data Governance,Data Asset Management,4,4.50
Data Governance,Data Classification,4,4.50
Data Governance,Data Literacy,4,4.50
Data Governance,Data Observability,4,4.50
Data Governance,Data and Analytics Governance,4,4.50
Data Governance,Hyperautomation,4,4.50
Data Governance,Machine Learning,4,4.50
Data Governance,Master Data Management,4,4.50
Data Governance,Multidomain MDM Solutions,4,4.50
Data Governance,Operational Intelligence,4,4.50
Data Governance,Customer MDM,4,4.25
Data Governance,DataOps,4,4.25
Data Governance,Edge Data Management,4,4.25
Data Governance,Product Data MDM,4,4.25
Data Governance,Data Breach Response,4,4.00
Data Governance,Data Engineering,4,4.00
Data Governance,Data Marketplaces and Exchanges,4,4.00
Data Governance,Data Product,4,4.00
Data Governance,Data Storytelling,4,4.00
Data Governance,Information Architecture,4,4.00
Data Governance,Data Hub Strategy,4,3.92
Data Governance,Cloud MDM,4,3.75
Data Governance,Event Stream Processing,4,3.75
Data Governance,Knowledge Graphs,4,3.75
Data Governance,Lakehouse,4,3.75
Data Governance,Machine Identity Management,4,3.75
Data Governance,Multistructured Analytics,4,3.75
Data Governance,Privacy Impact Assessments,4,3.75
Data Governance,Real-Time Data Management,4,3.75
Data Governance,Homegrown AI Chips,4,3.50
Data Governance,Privacy Management Tools,4,3.50
Data Governance,Digital Ethics,4,3.42
Data Governance,In-DBMS Analytics,4,3.25
Data Governance,Security Service Edge,4,3.25
Data Governance,Synthetic Data,4,3.25
Data Governance,Citizen Data Science,4,3.00
Data Governance,Digital Communications Governance,4,3.00
Data Governance,Graph DBMS,4,2.75
Data Governance,Postquantum Cryptography,4,2.25
EAM,EA Tools,5,4.80
EAM,EA Governance,5,4.60
EAM,Decision Intelligence,5,4.40
EAM,Enterprise Conversational AI Platforms,5,4.40
EAM,Business Capability Modeling,5,4.20
EAM,DataOps,5,4.20
EAM,DevSecOps,5,4.20
EAM,GitOps,5,4.00
EAM,Knowledge Graphs,5,4.00
EAM,Platform Engineering,5,4.00
EAM,Roadmapping,5,4.00
EAM,Business Ecosystem Modeling,5,3.80
EAM,Composable Applications,5,3.80
EAM,Continuous Delivery,5,3.80
EAM,IT/OT Integration,5,3.80
EAM,Information Architecture,5,3.80
EAM,Innovation Management,5,3.80
EAM,Journey Maps,5,3.80
EAM,Machine Learning,5,3.80
EAM,Product-Centric Delivery Model,5,3.80
EAM,Value Stream Mapping,5,3.80
EAM,Digital Twin,5,3.70
EAM,Cloud Sustainability,5,3.60
EAM,Digital Design,5,3.60
EAM,IoT Platform,5,3.60
EAM,NetDevOps,5,3.60
EAM,Short-Term Demand Sensing,5,3.60
EAM,Trendspotting,5,3.60
EAM,IoT Services,5,3.40
EAM,IoT-Enabled Equipment as a Service,5,3.40
EAM,OT Security,5,3.40
EAM,Vulnerability Assessment,5,3.40
EAM,Asset Performance Management,5,3.20
EAM,Optimize Planning,5,3.20
EAM,Total Experience,5,3.20
EAM,Cloud Center of Excellence,5,3.00
EAM,Cyber-Physical Systems,5,3.00
EAM,Edge Asset Life Cycle Management,5,3.00
EAM,Industrial Operational Intelligence,5,3.00
EAM,Operational Experience,5,3.00
EAM,Supply Chain Control Tower,5,3.00
EAM,Cloud Resilience,5,2.80
EAM,Infrastructure Automation,5,2.80
EAM,Infrastructure Orchestration,5,2.80
EAM,Building Information Modeling,5,2.60
EAM,Container-Native Storage,5,2.60
EAM,Hybrid Cloud Storage,5,2.60
EAM,Integrated Supply Chain Planning,5,2.60
EAM,Storage as a Service,5,2.60
EAM,Digital Communications Governance,5,2.40
EAM,Distributed File Systems,5,2.40
EAM,Event Stream Processing,5,2.40
EAM,FinOps,5,2.40
EAM,Hyperconvergence,5,2.40
EAM,Network Design,5,2.40
EAM,Object Storage,5,2.40
EAM,Software-Defined Storage,5,2.40
EAM,Immutable Data Vault,5,2.20
ESG,Generative AI,5,5.00
ESG,Data Governance,5,4.80
ESG,"Environmental, Social and Governance",5,4.60
ESG,Carbon Accounting and Management Software,5,4.40
ESG,Cloud Computing,5,4.40
ESG,Edge AI,5,4.40
ESG,Edge Computing,5,4.40
ESG,Machine Learning,5,4.40
ESG,IoT,5,4.20
ESG,Natural Language Technologies in Smart Cities,5,4.20
ESG,AI for Sustainability,5,4.00
ESG,Digital Twin,5,4.00
ESG,Digital Twins for Sustainability,5,4.00
ESG,IT/OT Integration,5,4.00
ESG,IoT Platform,5,4.00
ESG,IoT Services,5,4.00
ESG,IoT for Sustainability,5,4.00
