innovation_tech_name,radar_zone,radar_locate,radar_size
Generative AI,H001,Adopt,Transformational
Web3,H001,Adopt,Transformational
Value Stream Management Platforms,H001,Adopt,High
Low-Code/No-Code Solutions,H001,Trial,Moderate
Data Exchange,H002,Trial,Transformational
API Standards,H002,Trial,Moderate
Digital Twins of Government,H002,Adopt,High
Blockchain and IoT,H002,Adopt,Transformational
EV and Charging Infrastructure,H003,Adopt,High
Enterprise Metadata Management,H003,Adopt,High
Agile Beyond IT,H003,Trial,Transformational
API Management PaaS,H003,Trial,Moderate
Adaptive Learning Platforms,H004,Adopt,Transformational
iPaaS,H004,Trial,High
Cloud ERP for Manufacturing,H004,Trial,Moderate
ZTNA,H004,Trial,Moderate
